,answers,question_id,respondent_id,col,row
207,"[{u'col': u'8048411661', u'row': u'8048411663'}]",701548637,3476136366,8048411661,8048411663
208,"[{u'col': u'8048411979', u'row': u'8048411982'}]",701548849,3476136366,8048411979,8048411982
209,"[{u'col': u'8048412081', u'row': u'8048412082'}]",701549063,3476136366,8048412081,8048412082
210,"[{u'col': u'8048412206', u'row': u'8048412209'}]",701549500,3476136366,8048412206,8048412209
211,"[{u'col': u'8048412430', u'row': u'8048412431'}]",701549775,3476136366,8048412430,8048412431
212,"[{u'col': u'8048412777', u'row': u'8048412782'}]",701549946,3476136366,8048412777,8048412782
213,"[{u'col': u'8048413030', u'row': u'8048413032'}]",701550120,3476136366,8048413030,8048413032
214,"[{u'col': u'8048413516', u'row': u'8048413520'}]",701550328,3476136366,8048413516,8048413520
215,"[{u'col': u'8048413727', u'row': u'8048413730'}]",701550505,3476136366,8048413727,8048413730
216,"[{u'col': u'8048414040', u'row': u'8048414042'}]",701550937,3476136366,8048414040,8048414042
217,"[{u'col': u'8048414250', u'row': u'8048414254'}]",701551109,3476136366,8048414250,8048414254
218,"[{u'col': u'8048414585', u'row': u'8048414586'}]",701551292,3476136366,8048414585,8048414586
219,"[{u'col': u'8048414797', u'row': u'8048414799'}]",701551484,3476136366,8048414797,8048414799
220,"[{u'col': u'8048431681', u'row': u'8048431685'}]",701555541,3476136366,8048431681,8048431685
221,"[{u'col': u'8046208655', u'row': u'8046208657'}]",701555721,3476136366,8046208655,8046208657
222,"[{u'col': u'8046210826', u'row': u'8046210827'}]",701555977,3476136366,8046210826,8046210827
223,"[{u'col': u'8046212222', u'row': u'8046212223'}]",701556123,3476136366,8046212222,8046212223
224,"[{u'col': u'8046215140', u'row': u'8046215141'}]",701556462,3476136366,8046215140,8046215141
225,"[{u'col': u'8046216758', u'row': u'8046216762'}]",701556602,3476136366,8046216758,8046216762
226,[{u'row': u'8050592274'}],701559548,3476136366,,8050592274
227,"[{u'col': u'8048439315', u'row': u'8048439316'}]",701561036,3476136366,8048439315,8048439316
228,"[{u'col': u'8048420637', u'row': u'8048420638'}]",701561447,3476136366,8048420637,8048420638
229,"[{u'col': u'8048420904', u'row': u'8048420905'}]",701561677,3476136366,8048420904,8048420905
230,"[{u'col': u'8048421263', u'row': u'8048421264'}]",701561901,3476136366,8048421263,8048421264
231,"[{u'col': u'8048421569', u'row': u'8048421570'}]",701562292,3476136366,8048421569,8048421570
232,"[{u'col': u'8048421948', u'row': u'8048421949'}]",701562604,3476136366,8048421948,8048421949
233,"[{u'col': u'8048422198', u'row': u'8048422199'}]",701562849,3476136366,8048422198,8048422199
234,"[{u'col': u'8048422332', u'row': u'8048422333'}]",701564205,3476136366,8048422332,8048422333
235,"[{u'col': u'8048422570', u'row': u'8048422571'}]",701564472,3476136366,8048422570,8048422571
236,"[{u'col': u'8048423517', u'row': u'8048423518'}]",701564776,3476136366,8048423517,8048423518
237,"[{u'col': u'8048423808', u'row': u'8048423809'}]",701564973,3476136366,8048423808,8048423809
238,"[{u'col': u'8048424103', u'row': u'8048424105'}]",701565269,3476136366,8048424103,8048424105
239,"[{u'col': u'8048424308', u'row': u'8048424309'}]",701565917,3476136366,8048424308,8048424309
240,"[{u'col': u'8048424724', u'row': u'8048424725'}]",701566191,3476136366,8048424724,8048424725
241,"[{u'col': u'8048425121', u'row': u'8048425123'}]",701566359,3476136366,8048425121,8048425123
242,"[{u'col': u'8048425426', u'row': u'8048425429'}]",701566586,3476136366,8048425426,8048425429
243,"[{u'col': u'8048425564', u'row': u'8048425571'}]",701566927,3476136366,8048425564,8048425571
244,"[{u'col': u'8048425928', u'row': u'8048425929'}]",701567149,3476136366,8048425928,8048425929
245,[{u'row': u'8050595690'}],701568899,3476136366,,8050595690
246,"[{u'col': u'8047383399', u'row': u'8047383400'}]",701568900,3476136366,8047383399,8047383400
247,"[{u'col': u'8047384067', u'row': u'8047384068'}]",701568901,3476136366,8047384067,8047384068
248,"[{u'col': u'8047385081', u'row': u'8047385082'}]",701568902,3476136366,8047385081,8047385082
249,"[{u'col': u'8047386222', u'row': u'8047386223'}]",701568903,3476136366,8047386222,8047386223
250,"[{u'col': u'8047387216', u'row': u'8047387217'}]",701568904,3476136366,8047387216,8047387217
251,"[{u'col': u'8047388291', u'row': u'8047388292'}]",701568905,3476136366,8047388291,8047388292
252,"[{u'col': u'8047390845', u'row': u'8047390846'}]",701568906,3476136366,8047390845,8047390846
253,"[{u'col': u'8047391475', u'row': u'8047391476'}]",701568907,3476136366,8047391475,8047391476
254,"[{u'col': u'8047393009', u'row': u'8047393010'}]",701568908,3476136366,8047393009,8047393010
255,"[{u'col': u'8047393795', u'row': u'8047393797'}]",701568909,3476136366,8047393795,8047393797
256,"[{u'col': u'8047394826', u'row': u'8047394827'}]",701568910,3476136366,8047394826,8047394827
257,"[{u'col': u'8047395469', u'row': u'8047395470'}]",701568911,3476136366,8047395469,8047395470
258,"[{u'col': u'8047396088', u'row': u'8047396089'}]",701568912,3476136366,8047396088,8047396089
259,"[{u'col': u'8047396530', u'row': u'8047396531'}]",701568913,3476136366,8047396530,8047396531
260,"[{u'col': u'8047397329', u'row': u'8047397330'}]",701568914,3476136366,8047397329,8047397330
261,"[{u'col': u'8047397955', u'row': u'8047397956'}]",701568915,3476136366,8047397955,8047397956
262,"[{u'col': u'8047398704', u'row': u'8047398711'}]",701568916,3476136366,8047398704,8047398711
263,"[{u'col': u'8047399272', u'row': u'8047399273'}]",701568917,3476136366,8047399272,8047399273
264,[{u'row': u'8048428303'}],701569440,3476136366,,8048428303
265,"[{u'col': u'8047355997', u'row': u'8047355998'}]",701569441,3476136366,8047355997,8047355998
266,"[{u'col': u'8047357088', u'row': u'8047357089'}]",701569442,3476136366,8047357088,8047357089
267,"[{u'col': u'8047357781', u'row': u'8047357782'}]",701569443,3476136366,8047357781,8047357782
268,"[{u'col': u'8047358544', u'row': u'8047358546'}]",701569444,3476136366,8047358544,8047358546
269,"[{u'col': u'8047359552', u'row': u'8047359553'}]",701569445,3476136366,8047359552,8047359553
270,"[{u'col': u'8047359948', u'row': u'8047359949'}]",701569446,3476136366,8047359948,8047359949
271,"[{u'col': u'8047360992', u'row': u'8047360993'}]",701569447,3476136366,8047360992,8047360993
272,"[{u'col': u'8047362402', u'row': u'8047362403'}]",701569448,3476136366,8047362402,8047362403
273,"[{u'col': u'8047364536', u'row': u'8047364537'}]",701569449,3476136366,8047364536,8047364537
274,"[{u'col': u'8047366261', u'row': u'8047366262'}]",701569450,3476136366,8047366261,8047366262
275,"[{u'col': u'8047367478', u'row': u'8047367479'}]",701569451,3476136366,8047367478,8047367479
276,"[{u'col': u'8047368370', u'row': u'8047368371'}]",701569452,3476136366,8047368370,8047368371
277,"[{u'col': u'8047369271', u'row': u'8047369272'}]",701569453,3476136366,8047369271,8047369272
278,"[{u'col': u'8047371083', u'row': u'8047371084'}]",701569454,3476136366,8047371083,8047371084
279,"[{u'col': u'8047371716', u'row': u'8047371717'}]",701569455,3476136366,8047371716,8047371717
280,"[{u'col': u'8047372366', u'row': u'8047372369'}]",701569456,3476136366,8047372366,8047372369
281,"[{u'col': u'8047374071', u'row': u'8047374079'}]",701569457,3476136366,8047374071,8047374079
282,"[{u'col': u'8047375102', u'row': u'8047375103'}]",701569458,3476136366,8047375102,8047375103
283,[{u'row': u'8046374157'}],701541529,3475874211,,8046374157
284,[{u'row': u'8046074292'}],701542059,3475874211,,8046074292
285,[{u'row': u'8046076813'}],701542308,3475874211,,8046076813
286,[{u'row': u'8046079806'}],701542637,3475874211,,8046079806
287,"[{u'col': u'8048406414', u'row': u'8048406417'}]",701543957,3475874211,8048406414,8048406417
288,"[{u'col': u'8048406789', u'row': u'8048406792'}]",701544253,3475874211,8048406789,8048406792
289,"[{u'col': u'8048407196', u'row': u'8048407198'}]",701544459,3475874211,8048407196,8048407198
290,"[{u'col': u'8048407400', u'row': u'8048407401'}]",701545007,3475874211,8048407400,8048407401
291,"[{u'col': u'8048407847', u'row': u'8048407851'}]",701545279,3475874211,8048407847,8048407851
292,"[{u'col': u'8048407992', u'row': u'8048407995'}]",701545540,3475874211,8048407992,8048407995
293,"[{u'col': u'8048408316', u'row': u'8048408320'}]",701545910,3475874211,8048408316,8048408320
294,"[{u'col': u'8048408629', u'row': u'8048408633'}]",701546058,3475874211,8048408629,8048408633
295,"[{u'col': u'8048408887', u'row': u'8048408891'}]",701546272,3475874211,8048408887,8048408891
296,"[{u'col': u'8048409176', u'row': u'8048409181'}]",701546480,3475874211,8048409176,8048409181
