,answers,question_id,respondent_id,col,row,heading,type.family,type.subtype,text_y,position_y,question_heading
93,[{u'row': u'8046074296'}],701542059,3474541819,,8046074296,I have been employed at MHA for: ,single_choice,horiz,>10 years,5.0,701542059_I have been employed at MHA for: 
94,[{u'row': u'8046074296'}],701542059,3473964152,,8046074296,I have been employed at MHA for: ,single_choice,horiz,>10 years,5.0,701542059_I have been employed at MHA for: 
95,[{u'row': u'8046074296'}],701542059,3472697336,,8046074296,I have been employed at MHA for: ,single_choice,horiz,>10 years,5.0,701542059_I have been employed at MHA for: 
96,[{u'row': u'8046074296'}],701542059,3470722409,,8046074296,I have been employed at MHA for: ,single_choice,horiz,>10 years,5.0,701542059_I have been employed at MHA for: 
97,[{u'row': u'8046074296'}],701542059,3470284672,,8046074296,I have been employed at MHA for: ,single_choice,horiz,>10 years,5.0,701542059_I have been employed at MHA for: 
98,[{u'row': u'8046074295'}],701542059,3471180758,,8046074295,I have been employed at MHA for: ,single_choice,horiz,8- 10 years,4.0,701542059_I have been employed at MHA for: 
99,[{u'row': u'8046074295'}],701542059,3470816455,,8046074295,I have been employed at MHA for: ,single_choice,horiz,8- 10 years,4.0,701542059_I have been employed at MHA for: 
100,[{u'row': u'8046076814'}],701542308,3477006312,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
101,[{u'row': u'8046076814'}],701542308,3476990271,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
102,[{u'row': u'8046076814'}],701542308,3476608302,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
103,[{u'row': u'8046076814'}],701542308,3476136366,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
104,[{u'row': u'8046076814'}],701542308,3475188757,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
105,[{u'row': u'8046076814'}],701542308,3474794291,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
106,[{u'row': u'8046076814'}],701542308,3474618594,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
107,[{u'row': u'8046076814'}],701542308,3474575463,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
108,[{u'row': u'8046076814'}],701542308,3474448137,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
109,[{u'row': u'8046076814'}],701542308,3474149564,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
110,[{u'row': u'8046076814'}],701542308,3473984055,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
111,[{u'row': u'8046076814'}],701542308,3473964152,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
112,[{u'row': u'8046076814'}],701542308,3473831485,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
113,[{u'row': u'8046076814'}],701542308,3473085361,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
114,[{u'row': u'8046076814'}],701542308,3473067435,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
115,[{u'row': u'8046076814'}],701542308,3471232645,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
116,[{u'row': u'8046076814'}],701542308,3471210102,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
117,[{u'row': u'8046076814'}],701542308,3471140384,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
118,[{u'row': u'8046076814'}],701542308,3470947152,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
119,[{u'row': u'8046076814'}],701542308,3470906332,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
120,[{u'row': u'8046076814'}],701542308,3470902797,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
121,[{u'row': u'8046076814'}],701542308,3470850197,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
122,[{u'row': u'8046076814'}],701542308,3470849534,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
123,[{u'row': u'8046076814'}],701542308,3470832454,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
124,[{u'row': u'8046076814'}],701542308,3470816455,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
125,[{u'row': u'8046076814'}],701542308,3470722409,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
126,[{u'row': u'8046076814'}],701542308,3470414174,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
127,[{u'row': u'8046076814'}],701542308,3470398091,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
128,[{u'row': u'8046076814'}],701542308,3470253432,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
129,[{u'row': u'8046076814'}],701542308,3470232721,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
130,[{u'row': u'8046076814'}],701542308,3470226906,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
131,[{u'row': u'8046076814'}],701542308,3470226804,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
132,[{u'row': u'8046076814'}],701542308,3470220950,,8046076814,I have other employment outside MHA,single_choice,vertical,No,3.0,701542308_I have other employment outside MHA
133,[{u'row': u'8046076813'}],701542308,3476473331,,8046076813,I have other employment outside MHA,single_choice,vertical,Yes (Full-Time),2.0,701542308_I have other employment outside MHA
134,[{u'row': u'8046076813'}],701542308,3475874211,,8046076813,I have other employment outside MHA,single_choice,vertical,Yes (Full-Time),2.0,701542308_I have other employment outside MHA
135,[{u'row': u'8046076813'}],701542308,3474541819,,8046076813,I have other employment outside MHA,single_choice,vertical,Yes (Full-Time),2.0,701542308_I have other employment outside MHA
136,[{u'row': u'8046076813'}],701542308,3471709160,,8046076813,I have other employment outside MHA,single_choice,vertical,Yes (Full-Time),2.0,701542308_I have other employment outside MHA
137,[{u'row': u'8046076813'}],701542308,3471180758,,8046076813,I have other employment outside MHA,single_choice,vertical,Yes (Full-Time),2.0,701542308_I have other employment outside MHA
138,[{u'row': u'8046076813'}],701542308,3470284672,,8046076813,I have other employment outside MHA,single_choice,vertical,Yes (Full-Time),2.0,701542308_I have other employment outside MHA
139,[{u'row': u'8046076812'}],701542308,3476261511,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
140,[{u'row': u'8046076812'}],701542308,3475449067,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
141,[{u'row': u'8046076812'}],701542308,3473996226,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
142,[{u'row': u'8046076812'}],701542308,3473964533,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
143,[{u'row': u'8046076812'}],701542308,3473843369,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
144,[{u'row': u'8046076812'}],701542308,3473230773,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
145,[{u'row': u'8046076812'}],701542308,3472697336,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
146,[{u'row': u'8046076812'}],701542308,3470907035,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
147,[{u'row': u'8046076812'}],701542308,3470891561,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
148,[{u'row': u'8046076812'}],701542308,3470258609,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
149,[{u'row': u'8046076812'}],701542308,3470226947,,8046076812,I have other employment outside MHA,single_choice,vertical,Yes (Part-Time),1.0,701542308_I have other employment outside MHA
150,[{u'row': u'8046079807'}],701542637,3477006312,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
151,[{u'row': u'8046079807'}],701542637,3476990271,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
152,[{u'row': u'8046079807'}],701542637,3476608302,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
153,[{u'row': u'8046079807'}],701542637,3476136366,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
154,[{u'row': u'8046079807'}],701542637,3475449067,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
155,[{u'row': u'8046079807'}],701542637,3475188757,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
156,[{u'row': u'8046079807'}],701542637,3474794291,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
157,[{u'row': u'8046079807'}],701542637,3474618594,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
158,[{u'row': u'8046079807'}],701542637,3474575463,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
159,[{u'row': u'8046079807'}],701542637,3474541819,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
160,[{u'row': u'8046079807'}],701542637,3474448137,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
161,[{u'row': u'8046079807'}],701542637,3474149564,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
162,[{u'row': u'8046079807'}],701542637,3473996226,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
163,[{u'row': u'8046079807'}],701542637,3473984055,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
164,[{u'row': u'8046079807'}],701542637,3473964152,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
165,[{u'row': u'8046079807'}],701542637,3473831485,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
166,[{u'row': u'8046079807'}],701542637,3473230773,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
167,[{u'row': u'8046079807'}],701542637,3473085361,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
168,[{u'row': u'8046079807'}],701542637,3473067435,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
169,[{u'row': u'8046079807'}],701542637,3472697336,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
170,[{u'row': u'8046079807'}],701542637,3471232645,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
171,[{u'row': u'8046079807'}],701542637,3471210102,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
172,[{u'row': u'8046079807'}],701542637,3471140384,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
173,[{u'row': u'8046079807'}],701542637,3470947152,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
174,[{u'row': u'8046079807'}],701542637,3470906332,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
175,[{u'row': u'8046079807'}],701542637,3470902797,,8046079807,I work outside of MHA in a clinical/therapeutic capacity: ,single_choice,horiz,No,3.0,701542637_I work outside of MHA in a clinical/therapeutic capacity: 
